Timestamp,Theta1,Theta2,Theta3,Kappa,Phi,X,Y,Z
1763669256.7894993,130,0,0,2.562837,-0.520539,0.021557,-0.012358,0.137015
1763669257.0401523,130,0,0,3.875592,-0.74285,0.027295,-0.025066,0.133231
1763669257.2904618,140,0,0,4.783759,-0.81529,0.030961,-0.032869,0.129766
1763669257.5408957,150,0,0,4.521029,-0.79484,0.03001,-0.030582,0.130838
1763669257.789902,150,0,0,5.339509,-0.835417,0.0335,-0.037031,0.127321
1763669258.0406108,160,0,0,5.976394,-0.850608,0.036426,-0.041516,0.124228
1763669258.2894435,160,0,0,6.082464,-0.858296,0.036669,-0.042447,0.123683
1763669258.5335376,170,0,0,7.234825,-0.88736,0.041072,-0.050435,0.11726
1763669258.7829812,0,0,0,7.610076,-0.909119,0.04165,-0.05348,0.114978
1763669259.0327315,0,0,0,1.789271,1.124634,0.007527,0.015736,0.13854
1763669259.283648,0,0,0,2.473754,1.418773,0.003635,0.023725,0.137218
1763669259.5329173,0,10,0,2.478435,1.387302,0.004388,0.023642,0.137208
1763669259.783049,0,10,0,2.317802,1.431628,0.003123,0.022298,0.137556
1763669260.0324438,0,20,0,2.299764,1.456417,0.00255,0.022198,0.137594
1763669260.2831273,0,20,0,2.371178,1.450231,0.002769,0.022858,0.137443
1763669260.526917,0,30,0,2.43947,1.435197,0.003201,0.023458,0.137294
1763669260.7770777,0,40,0,2.239663,1.481436,0.001943,0.021683,0.137717
1763669261.0275354,0,40,0,2.674265,1.393369,0.004572,0.025496,0.136752
1763669261.2839923,0,50,0,3.198511,1.320385,0.007639,0.029864,0.135368
1763669261.5360296,0,60,0,3.018957,1.34587,0.006501,0.028414,0.135869
1763669261.784811,0,60,0,3.685846,1.268817,0.010507,0.033728,0.133869
1763669262.111208,0,70,0,4.537073,1.199886,0.015582,0.040065,0.130774
1763669262.360158,0,70,0,4.246622,1.221709,0.01382,0.037968,0.131897
1763669262.6102662,0,80,0,5.047613,1.165726,0.018696,0.043603,0.128635
1763669262.859723,0,90,0,4.274791,1.211029,0.014314,0.038054,0.131791
1763669263.1103013,0,90,0,5.801204,1.122868,0.023298,0.048488,0.125109
1763669263.359486,0,100,0,6.665888,1.078291,0.028711,0.053504,0.120546
1763669263.609829,0,110,0,6.421631,1.085866,0.027412,0.052026,0.121888
1763669263.8591125,0,110,0,7.339305,1.05136,0.03267,0.057135,0.116634
1763669264.10998,0,120,0,8.327739,1.011795,0.038596,0.061699,0.110371
1763669264.3529012,0,130,0,8.239555,1.006743,0.038589,0.061,0.110953
1763669264.6040268,0,130,0,9.041457,0.984323,0.042829,0.064458,0.105497
1763669264.8540509,0,140,0,9.105877,0.968634,0.044061,0.064106,0.105044
1763669265.104083,0,140,0,9.806142,0.954203,0.047373,0.066838,0.099986
1763669265.3466823,0,150,0,10.0,0.924362,0.049997,0.066256,0.098545
1763669265.5954857,0,160,0,10.0,0.916298,0.050529,0.065851,0.098545
1763669265.853311,0,160,0,10.0,0.88893,0.052312,0.064444,0.098545
1763669266.1026857,0,170,0,10.0,0.854664,0.054489,0.062614,0.098545
1763669266.3518376,0,0,0,10.0,0.846318,0.05501,0.062157,0.098545
1763669266.608585,0,0,0,6.873282,1.057507,0.030601,0.054288,0.119373
1763669266.8593132,0,0,0,3.133892,1.363264,0.006227,0.029574,0.135551
1763669267.109341,0,0,0,3.388077,1.332919,0.007678,0.031668,0.134809
1763669267.3602796,10,10,0,3.48799,1.423042,0.004933,0.033143,0.134502
1763669267.610098,20,20,0,3.236465,1.371264,0.00618,0.03056,0.135259
1763669267.8610537,20,20,0,3.438679,1.449378,0.004003,0.03281,0.134655
1763669268.1092072,30,30,0,3.253144,1.446139,0.003896,0.03109,0.13521
1763669268.358919,40,40,0,3.264308,1.460573,0.003458,0.031247,0.135177
1763669268.6114082,40,40,0,2.930203,1.430519,0.003959,0.028037,0.136106
1763669268.863536,50,50,0,2.912532,1.334871,0.00658,0.02737,0.136153
1763669269.1160066,50,50,0,3.162322,1.284173,0.008619,0.029244,0.135471
1763669269.371413,60,60,0,2.004899,1.151764,0.007942,0.017831,0.138169
1763669269.6196878,70,70,0,3.633107,1.248759,0.011028,0.033052,0.134041
1763669269.8717835,70,70,0,3.604934,0.972417,0.019482,0.028576,0.134132
1763669270.1238298,80,80,0,4.466891,0.911021,0.025969,0.033476,0.131052
1763669270.3768082,90,90,0,3.76608,0.786666,0.025466,0.025531,0.133603
1763669270.628869,90,90,0,4.376953,0.625849,0.03369,0.02435,0.131402
1763669270.8803847,100,100,0,5.310814,0.695485,0.038151,0.031841,0.127453
1763669271.1321578,100,100,0,4.835051,0.493315,0.040164,0.021595,0.129551
1763669271.384278,110,110,0,5.638045,0.402428,0.048254,0.02054,0.125909
1763669271.637455,120,120,0,5.100693,0.37781,0.04452,0.017669,0.128401
1763669271.8893957,120,120,0,6.176544,0.293432,0.054421,0.016444,0.123194
1763669272.1407712,130,130,0,7.074004,0.408921,0.058577,0.025384,0.118211
